country,year,ovi_gas,ovi_oil
UKR,2013,8.25853896103896,9.94766406213964
UKR,2014,9.770665813060177,11.187378332607292
UKR,2015,12.314507799892418,12.690237859651736
UKR,2016,12.537059145673602,11.942588717750056
UKR,2017,13.04797378170419,11.844307755288728
UKR,2018,12.88638896707008,11.363130901678325
UKR,2019,13.92074794770447,11.310087672511711
UKR,2020,13.426785923753664,11.989129537964748
UKR,2021,14.45244318181818,11.824472724243783
UKR,2022,21.56634008478568,13.554815318249137
UKR,2023,21.02173553719008,13.33632687185065
GBR,2001,2.3142285030968286,1.7620527766735683
GBR,2002,2.3448969718055563,1.7680506624867511
GBR,2003,2.338435237539149,1.751787293222018
GBR,2004,2.2884803397406617,1.7158819427010783
GBR,2005,2.3483794027083142,1.6611208155227952
GBR,2006,2.4760951905728232,1.6790804196290334
GBR,2007,2.4490658965372183,1.728631435608564
GBR,2008,2.3856814059865092,1.7585262451713155
GBR,2009,2.5585163807652465,1.8503897530617517
GBR,2010,2.369688022290349,1.8790210333394717
GBR,2011,2.8491394606864167,1.9335884957748035
GBR,2012,3.0351251280911926,1.9897701920068165
GBR,2013,3.0579102903952737,1.9666727648070104
GBR,2014,3.331604732064005,1.9621283015260749
GBR,2015,3.2395852004015095,1.9375045515422873
GBR,2016,2.921179080207772,1.8858408543106269
GBR,2017,2.9835223380108036,1.86086805763027
GBR,2018,2.960065653616095,1.881985410366361
GBR,2019,2.9971241522977707,1.9281223639603096
GBR,2020,3.177040311117209,2.4240074144820394
GBR,2021,3.032931230089688,2.3969427489946296
GBR,2022,3.3111569240062755,2.224653570758845
GBR,2023,3.6686353022772415,2.1860857100357864
Azerbaijan,2001,0.9633606241521108,0.0429113963423599
Azerbaijan,2002,0.9606371682627064,0.0466416927323772
Azerbaijan,2003,0.9368018099524285,0.0402787025680966
Azerbaijan,2004,0.7989040611763243,0.0375642790257202
Azerbaijan,2005,0.7734339506400844,0.0320107752992709
Azerbaijan,2006,0.7316329518148065,0.0353879957032961
Azerbaijan,2007,0.8309649860822249,0.035737847706161
Azerbaijan,2008,0.7263123003461613,0.0432099775049194
Azerbaijan,2009,0.850619823514553,0.0492917438276147
Azerbaijan,2010,0.894824676115179,0.049665796135891
Azerbaijan,2011,0.8170549170668208,0.0381202596720287
Azerbaijan,2012,0.7785373679404514,0.0366426225332892
Azerbaijan,2013,0.7750976703871274,0.0335390462145428
Azerbaijan,2014,0.740782379744228,0.0339424586498126
Azerbaijan,2015,0.6549110139659773,0.0338995680647594
Azerbaijan,2016,0.6678469871066648,0.0345007307433837
Azerbaijan,2017,0.6876021100907493,0.0339550909222113
Azerbaijan,2018,0.6749377358381536,0.0299345902117544
Azerbaijan,2019,0.6192089319616088,0.0295251588817667
Azerbaijan,2020,0.5902907282914014,0.0323607903792411
Azerbaijan,2021,0.5695365065098803,0.028311497488783
Azerbaijan,2022,0.5361253960580462,0.0269497631013865
Azerbaijan,2023,0.5212801927451365,0.0258935389735579
Belarus,2001,7.943566570264247,24.40554850724626
Belarus,2002,7.720626193141676,22.93856020782747
Belarus,2003,7.853055458890247,22.55976623442465
Belarus,2004,6.474458422882382,23.189726969001835
Belarus,2005,6.314904791282249,24.79228772190992
Belarus,2006,6.187232844776503,21.150286968819977
Belarus,2007,6.162842041773202,23.026734231431377
Belarus,2008,6.017616171944063,23.365002599705495
Belarus,2009,7.0871800381246395,20.63315299716887
Belarus,2010,5.789169215793826,23.38805590273919
Belarus,2011,6.241487892157872,21.260333305937536
Belarus,2012,6.182348897445634,17.357342543239763
Belarus,2013,6.227206708973303,23.221289074708555
Belarus,2014,6.2756781373145545,22.637406714287653
Belarus,2015,6.7043186711429525,26.931113759210355
Belarus,2016,6.746304458000441,25.176893621468775
Belarus,2017,6.590236341297779,25.208098687023664
Belarus,2018,6.213021727859467,21.69359194483446
Belarus,2019,6.261577556338806,21.235271332398884
Belarus,2020,6.760179154718367,22.293055186669545
Belarus,2021,6.396012613715231,21.8323702484264
Belarus,2022,6.499682743299034,22.856627736597588
Belarus,2023,7.149651017628938,22.97564049989203
KAZ,2001,26.29728637608052,24.92993991382393
KAZ,2002,26.20361283163948,25.079849566290175
KAZ,2003,22.98342296064025,22.99266358198713
KAZ,2004,20.559866892833337,21.759194450740335
KAZ,2005,17.76550424820632,21.13293630415334
KAZ,2006,16.181066070017348,18.359691125573423
KAZ,2007,13.261704318266204,16.729576865629095
KAZ,2008,12.580989918156623,16.718612049596658
KAZ,2009,13.299743883407,20.611069417157953
KAZ,2010,12.29217808575046,19.830050380679225
KAZ,2011,10.901721868149432,15.033020706452836
KAZ,2012,10.028346760391486,14.035238852110686
KAZ,2013,9.625652295925162,13.788859692704364
KAZ,2014,7.258470744600148,13.360031443394492
KAZ,2015,7.798519821159091,14.354896046704082
KAZ,2016,7.169065136273288,14.087923384468835
KAZ,2017,6.435626749600077,13.87065248676414
KAZ,2018,6.456795654156629,12.945695273400402
KAZ,2019,5.462819477910214,12.823681951276322
KAZ,2020,6.096454174954528,14.901128284235885
KAZ,2021,4.97948783164261,12.02933918000574
KAZ,2022,5.057857824293195,12.182784024810582
KAZ,2023,5.394948694252354,11.789440117761492
