country,year,ovi_gas,lng_capacity_bcm,pipeline_capacity_bcm,total_capacity_bcm,gas_consumption_bcm
IRQ,2024,0.049661775267456014,0.0,0.98188504,0.98188504,19.771444631449604
ITA,2004,0.0026727147610918827,0.0,0.20671264,0.20671264,77.34182600000001
ITA,2005,0.10881674439996633,0.0,9.00671264,9.00671264,82.769547
ITA,2006,0.1111133588080175,0.0,9.00671264,9.00671264,81.058774
ITA,2007,0.11057133561584799,0.0,9.00671264,9.00671264,81.456125946525
ITA,2008,0.11139819154324997,0.0,9.00671264,9.00671264,80.85151576723015
ITA,2009,0.24229419006014116,9.0,9.00671264,18.00671264,74.31755848347191
ITA,2010,0.22750139262218988,9.0,9.00671264,18.00671264,79.1499007212832
ITA,2011,0.24262551748869965,9.0,9.00671264,18.00671264,74.2160710315174
ITA,2012,0.37567259403863684,9.0,17.80671264,26.80671264,71.35658300707186
ITA,2013,0.4016562840669546,9.0,17.80671264,26.80671264,66.7404288277771
ITA,2014,0.5393565071373533,14.0,17.80671264,31.80671264,58.97159340639986
ITA,2015,0.4945425797888608,14.0,17.80671264,31.80671264,64.31541780200101
ITA,2016,0.6011726958214656,14.0,26.60671264,40.60671264,67.54583653290078
ITA,2017,0.5673008530151354,14.0,26.60671264,40.60671264,71.57879707774143
ITA,2018,0.5866828081337601,14.0,26.60671264,40.60671264,69.21408310765077
ITA,2019,0.5736171779362198,14.0,26.60671264,40.60671264,70.79061471990128
ITA,2020,0.7483415146647325,14.0,36.60671264,50.60671264,67.62515729555979
ITA,2021,0.7161542187453409,15.224,36.60671264,51.83071264,72.37367494784056
ITA,2022,0.8733359947831879,15.224,41.7166491008,56.9406491008,65.1990178361261
ITA,2023,1.0571180316668678,20.224,41.7166491008,61.9406491008,58.59388189900777
ITA,2024,1.051163631256029,20.224,41.7166491008,61.9406491008,58.92579162654962
JPN,2001,0.13472555229994487,10.472000000000001,0.0,10.472000000000001,77.728387980075
JPN,2002,0.13770605664343624,10.472000000000001,0.0,10.472000000000001,76.04603788136394
JPN,2003,0.12867339174700537,10.744000000000002,0.0,10.744000000000002,83.49822643305001
JPN,2004,0.13329354443132752,10.744000000000002,0.0,10.744000000000002,80.604053600925
JPN,2005,0.12987143310436755,10.744000000000002,0.0,10.744000000000002,82.72796983279522
JPN,2006,0.3547812652380637,31.416000000000004,0.0,31.416000000000004,88.55033531412484
JPN,2007,0.32934247713110376,31.416,0.0,31.416,95.39006408667414
JPN,2008,0.3170147345910395,31.416,0.0,31.416,99.09949466710997
JPN,2009,0.339713135872176,31.416,0.0,31.416,92.4780253767429
JPN,2010,0.3306892666107864,33.048,0.0,33.048,99.93671805168303
JPN,2011,0.2950049338092167,33.048,0.0,33.048,112.02524504682536
JPN,2012,0.36313736679468245,44.744,0.0,44.744,123.21508082449202
JPN,2013,0.49319683043626006,60.928000000000004,0.0,60.928000000000004,123.53688474864244
JPN,2014,0.5145563913999159,64.19200000000001,0.0,64.19200000000001,124.75211866547323
JPN,2015,0.5899712664238278,70.04,0.0,70.04,118.71764607207865
JPN,2016,0.6390107574164958,74.39200000000001,0.0,74.39200000000001,116.41744546017499
JPN,2017,0.635902520076777,74.39200000000001,0.0,74.39200000000001,116.98648401490553
JPN,2018,0.6640845630546776,76.84,0.0,76.84,115.70815567003831
JPN,2019,0.7106702817790695,76.84,0.0,76.84,108.1232773764525
JPN,2020,0.7379414307813554,76.84,0.0,76.84,104.1275049683
JPN,2021,0.7903448538222431,81.19200000000001,0.0,81.19200000000001,102.72983952175002
JPN,2022,0.8293696114337087,82.552,0.0,82.552,99.53583886114974
JPN,2023,0.9011128241650866,82.552,0.0,82.552,91.61116986264999
JPN,2024,0.9077250510281243,82.552,0.0,82.552,90.94383801184999
KAZ,2004,0.04393133951460114,0.0,0.23,0.23,5.23544245500542
KAZ,2005,0.037960479162834015,0.0,0.23,0.23,6.058933002752669
KAZ,2006,0.8162689405443534,0.0,5.430000000000001,5.430000000000001,6.652219299657344
KAZ,2007,0.6689990193997166,0.0,5.430000000000001,5.430000000000001,8.116603825327372
KAZ,2008,1.165296074730784,0.0,9.97,9.97,8.555765539932288
KAZ,2009,1.2318696257670734,0.0,9.97,9.97,8.093388936180464
KAZ,2010,1.1385452946389085,0.0,9.97,9.97,8.75678819889375
KAZ,2011,1.0603960234069543,0.0,10.47,10.47,9.87366961860236
KAZ,2012,0.9754439853335085,0.0,10.47,10.47,10.73357379554733
KAZ,2013,2.2776418058083783,0.0,25.47,25.47,11.18261876606195
KAZ,2014,1.8793532111854898,0.0,27.87,27.87,14.829569999999999
KAZ,2015,2.132203997925604,0.0,29.43,29.43,13.802619274999998
KAZ,2016,1.9601039293991345,0.0,29.43,29.43,15.014509975
KAZ,2017,1.7685417990818495,0.0,29.580000000000002,29.580000000000002,16.7256437
KAZ,2018,1.7743591178925409,0.0,29.580000000000002,29.580000000000002,16.6708079
KAZ,2019,1.612861417762789,0.0,31.78,31.78,19.704110749999995
KAZ,2020,1.7999378825720447,0.0,31.78,31.78,17.656164864193844
KAZ,2021,1.6366989918572608,0.0,35.38,35.38,21.616681
KAZ,2022,1.6624582852424121,0.0,35.38,35.38,21.281737000000003
KAZ,2023,2.723035698241642,0.0,54.33,54.33,19.951996969809375
KAZ,2024,3.0439077778323327,0.0,63.129999999999995,63.129999999999995,20.73978734170355
KOR,2002,1.4906283587090268,36.04,0.0,36.04,24.177723300000004
KOR,2003,1.423163778532686,36.04,0.0,36.04,25.323859800000005
KOR,2004,1.2144906513992382,36.04,0.0,36.04,29.67499170000001
KOR,2005,1.4382213266071557,45.696,0.0,45.696,31.7725785
KOR,2006,1.3641172468803964,45.696,0.0,45.696,33.498586800000005
KOR,2007,1.2594757628930044,45.696,0.0,45.696,36.2817621
KOR,2008,1.2238851831784983,45.696,0.0,45.696,37.3368357
KOR,2009,1.2875194163371537,45.696,0.0,45.696,35.49150360000001
KOR,2010,1.0150950606668576,45.696,0.0,45.696,45.016473600000005
KOR,2011,0.9432462269717443,45.696,0.0,45.696,48.4454628
KOR,2012,0.8699254432432043,45.696,0.0,45.696,52.52863950000001
KOR,2013,0.831201728179278,45.696,0.0,45.696,54.9758241
KOR,2014,1.2293416747941663,61.472,0.0,61.472,50.00399910000001
KOR,2015,1.346601697428329,61.472,0.0,61.472,45.64972710000001
KOR,2016,1.598532755143028,76.16,0.0,76.16,47.643690600000006
KOR,2017,1.5306575851958957,76.16,0.0,76.16,49.75639276648078
KOR,2018,1.3175557075346376,76.16,0.0,76.16,57.8040075
KOR,2019,1.3858771055673107,77.656,0.0,77.656,56.03382846000001
KOR,2020,1.3496634138864203,77.656,0.0,77.656,57.53730834
KOR,2021,1.2443397312114333,77.656,0.0,77.656,62.40739410000001
KOR,2022,1.2449087022819463,77.656,0.0,77.656,62.378871525
KOR,2023,1.2926572259875608,77.656,0.0,77.656,60.07470382620001
KOR,2024,1.2200713031890587,77.656,0.0,77.656,63.64873905075912
KWT,2021,0.020924019919586326,0.0,0.41342528,0.41342528,19.758405965433315
KWT,2022,1.400429555175932,29.92,0.41342528,30.33342528,21.66008648409973
KWT,2023,2.5101859805411695,29.92,29.559907520000003,59.479907520000005,23.695418578975875
KWT,2024,2.4134638923163,29.92,29.559907520000003,59.479907520000005,24.645037246823982
Lithuania,2014,1.6421624031164777,3.944,0.0,3.944,2.4017113
Lithuania,2015,2.5518301497858564,3.944,2.19,6.134,2.4037650000000004
Lithuania,2016,2.863859300189321,3.944,2.19,6.134,2.141865
Lithuania,2017,2.7520474353555993,3.944,2.19,6.134,2.228886
Lithuania,2018,2.739998936876839,3.944,2.19,6.134,2.238687
Lithuania,2019,2.8435588339461773,3.944,2.19,6.134,2.157156
Lithuania,2020,2.5986196051318284,3.944,2.19,6.134,2.3604840000000005
Lithuania,2021,2.7529144810302926,3.944,2.19,6.134,2.2281839999999997
Lithuania,2022,5.309254427385649,3.944,4.59,8.533999999999999,1.607382
Lithuania,2023,5.4512134283558895,3.944,4.59,8.533999999999999,1.5655230000000002
Lithuania,2024,5.014687381192042,3.944,4.59,8.533999999999999,1.7018010000000001
MEX,2002,0.1343897120600358,0.0,5.519227488,5.519227488,41.06882441666666
MEX,2003,0.633939625876908,0.0,28.216275360000004,28.216275360000004,44.50940469444445
MEX,2004,0.5875707409278692,0.0,28.21627536,28.21627536,48.02192041666666
MEX,2005,0.5352878988902451,0.0,28.21627536,28.21627536,52.712335583333335
MEX,2006,0.7633639047954868,7.752000000000001,36.74317176,44.495171760000005,58.28828358333334
MEX,2007,0.7800507608395936,7.752000000000001,36.74317176,44.495171760000005,57.041379861111125
MEX,2008,1.3618079089512078,18.088,63.61581496,81.70381496,59.99657838888889
MEX,2009,1.2537259174170954,18.088,63.61581496,81.70381496,65.16880111111111
MEX,2010,1.2668357596980782,18.088,65.57958504,83.66758504,66.04454002777778
MEX,2011,1.307134603078263,18.088,74.46822856,92.55622856,70.80849083333334
MEX,2012,1.3268055133869114,23.256,74.46822856,97.72422856,73.65377033333333
MEX,2013,1.4177294554564677,23.256,87.036357072,110.292357072,77.79506636298889
MEX,2014,1.8955909369264246,23.256,126.20840235200001,149.464402352,78.84844743684344
MEX,2015,1.8501981525081617,23.256,126.20840235200001,149.464402352,80.78291622407221
MEX,2016,2.1626529196194046,23.256,161.2358592,184.4918592,85.308122041362
MEX,2017,2.3704182882820883,23.256,189.317771344,212.573771344,89.67774691700444
MEX,2018,2.646938647036623,23.256,220.738092624,243.994092624,92.17973106296336
MEX,2019,2.9864108189310143,23.256,261.243434432,284.49943443200004,95.26466775051284
